category,state
ad,Andorra la Vella
ad,Canillo
ad,Encamp
ad,Escaldes-Engordany
ad,La Massana
ad,Ordino
ad,Sant Julià de Loria
ae,Fujairah
ae,Ra's al Khaymah
ae,Umm al Qaywayn
ar,Buenos Aires F.D.
ar,Catamarca
ar,Chaco
ar,Chubut
ar,Corrientes
ar,Entre Rios
ar,Formosa
ar,Jujuy
ar,La Pampa
ar,La Rioja
ar,Misiones
ar,Neuquen
ar,Rio Negro
ar,Salta
ar,San Juan
ar,San Luis
ar,Santa Cruz
ar,Santa Fe
ar,Santiago del Estero
ar,Tierra del Fuego
ar,Tucuman
at,Burgenland
at,Carinthia
at,Lower Austria
at,Salzburg
at,Styria
at,Tyrol
at,Upper Austria
at,Vorarlberg
br,Acre
br,Alagoas
br,Amapa
br,Federal District
br,Maranhao
br,Mato Grosso do Sul
br,Paraíba
br,Piaui
br,Rio Grande do Norte
br,Rondonia
br,Roraima
br,Sergipe
br,Tocantins
ch,Aargau
ch,Appenzell Ausserrhoden
ch,Appenzell Innerrhoden
ch,Basel-City
ch,Basel-Landschaft
ch,Bern
ch,Fribourg
ch,Glarus
ch,Grisons
ch,Jura
ch,Lucerne
ch,Neuchâtel
ch,Nidwalden
ch,Obwalden
ch,Saint Gallen
ch,Schaffhausen
ch,Schwyz
ch,Thurgau
ch,Ticino
ch,Uri
ch,Valais
ch,Vaud
ch,Zug
cl,Aysén
cl,Los Lagos Region
cl,Los Ríos Region
cl,Maule Region
cl,O'Higgins Region
cl,Tarapacá
cl,Ñuble
co,Amazonas
co,Antioquia
co,Atlántico
co,Bogota D.C.
co,Cundinamarca
co,Departamento de Arauca
co,Departamento de Bolivar
co,Departamento de Boyaca
co,Departamento de Caldas
co,Departamento de Casanare
co,Departamento de Cordoba
co,Departamento de La Guajira
co,Departamento de Narino
co,Departamento de Norte de Santander
co,Departamento de Risaralda
co,Departamento de Santander
co,Departamento de Sucre
co,Departamento de Tolima
co,Departamento del Caqueta
co,Departamento del Cauca
co,Departamento del Cesar
co,Departamento del Choco
co,Departamento del Guainia
co,Departamento del Guaviare
co,Departamento del Huila
co,Departamento del Magdalena
co,Departamento del Meta
co,Departamento del Putumayo
co,Departamento del Valle del Cauca
co,Departamento del Vaupes
co,Departamento del Vichada
co,Quindio Department
co,San Andres y Providencia
cz,Benešov District
cz,Beroun District
cz,Blansko District
cz,Bruntál District
cz,Břeclav District
cz,Central Bohemia
cz,Cesky Krumlov
cz,Cheb District
cz,Chomutov District
cz,Chrudim District
cz,Domažlice District
cz,Děčín District
cz,Havlíčkův Brod District
cz,Hlavni mesto Praha
cz,Hodonín District
cz,Hradec Králové District
cz,Jablonec nad Nisou District
cz,Jeseník District
cz,Jihocesky kraj
cz,Jindřichův Hradec District
cz,Jičín District
cz,Karlovarsky kraj
cz,Kladno District
cz,Klatovy District
cz,Kraj Vysocina
cz,Kralovehradecky kraj
cz,Kroměříž District
cz,Kutná Hora District
cz,Liberec District
cz,Liberecky kraj
cz,Litoměřice District
cz,Louny District
cz,Mesto Brno
cz,Mladá Boleslav District
cz,Moravskoslezsky kraj
cz,Most District
cz,Mělník District
cz,Nový Jičín District
cz,Nymburk District
cz,Náchod District
cz,Okres Brno-venkov
cz,Okres Frydek-Mistek
cz,Okres Jihlava
cz,Okres Karlovy Vary
cz,Okres Karvina
cz,Okres Kolin
cz,Okres Ostrava-mesto
cz,Okres Plzen-jih
cz,Okres Plzen-mesto
cz,Okres Plzen-sever
cz,Okres Praha-vychod
cz,Okres Praha-zapad
cz,Okres Usti nad Labem
cz,Olomouc District
cz,Olomoucky kraj
cz,Opava District
cz,Pardubice District
cz,Pardubicky kraj
cz,Pelhřimov District
cz,Plzensky kraj
cz,Prachatice District
cz,Praha 1
cz,Praha 10
cz,Praha 11
cz,Praha 13
cz,Praha 14
cz,Praha 15
cz,Praha 21
cz,Praha 4
cz,Praha 5
cz,Praha 6
cz,Prostějov District
cz,Písek District
cz,Přerov District
cz,Příbram District
cz,Rakovník District
cz,Rokycany District
cz,Rychnov nad Kněžnou District
cz,Semily District
cz,Sokolov District
cz,South Moravian
cz,Strakonice District
cz,Svitavy District
cz,Tachov District
cz,Teplice District
cz,Trutnov District
cz,Tábor District
cz,Třebíč District
cz,Uherské Hradiště District
cz,Ustecky kraj
cz,Vsetín District
cz,Vyškov District
cz,Zlín
cz,Zlín District
cz,Znojmo District
cz,Ústí nad Orlicí District
cz,Česká Lípa District
cz,České Budějovice District
cz,Šumperk District
cz,Žďár nad Sázavou District
de,Bremen
de,Mecklenburg-Vorpommern
de,Rheinland-Pfalz
de,Saarland
de,Saxony-Anhalt
de,Schleswig-Holstein
ec,Provincia de Bolivar
ec,Provincia de Cotopaxi
ec,Provincia de El Oro
ec,Provincia de Esmeraldas
ec,Provincia de Francisco de Orellana
ec,Provincia de Galapagos
ec,Provincia de Imbabura
ec,Provincia de Loja
ec,Provincia de Los Rios
ec,Provincia de Manabi
ec,Provincia de Morona-Santiago
ec,Provincia de Napo
ec,Provincia de Pichincha
ec,Provincia de Santa Elena
ec,Provincia de Santo Domingo de los Tsachilas
ec,Provincia de Sucumbios
ec,Provincia de Zamora-Chinchipe
ec,Provincia del Azuay
ec,Provincia del Canar
ec,Provincia del Carchi
ec,Provincia del Chimborazo
ec,Provincia del Guayas
ec,Provincia del Pastaza
ec,Provincia del Tungurahua
es,A Coruña
es,Albacete
es,Alicante
es,Almeria
es,Andalusia
es,Araba / Álava
es,Aragon
es,Asturias
es,Avila
es,Badajoz
es,Balearic Islands
es,Basque Country
es,Biscay
es,Burgos
es,Caceres
es,Cadiz
es,Canary Islands
es,Cantabria
es,Castellon
es,Castille and León
es,Castille-La Mancha
es,Catalonia
es,Ceuta
es,Ciudad Real
es,Cordoba
es,Cuenca
es,Extremadura
es,Galicia
es,Gipuzkoa
es,Girona
es,Guadalajara
es,Huelva
es,Huesca
es,Jaen
es,La Rioja
es,Las Palmas
es,Leon
es,Lleida
es,Lugo
es,Malaga
es,Melilla
es,Murcia
es,Navarre
es,Ourense
es,Palencia
es,Pontevedra
es,Principality of Asturias
es,Salamanca
es,Santa Cruz de Tenerife
es,Saragossa
es,Segovia
es,Soria
es,Tarragona
es,Teruel
es,Toledo
es,Valladolid
es,Zamora
fi,Central Finland
fi,Central Ostrobothnia
fi,Kainuu
fi,Kymenlaakso
fi,Lapland
fi,North Karelia
fi,Northern Savo
fi,Ostrobothnia
fi,Päijänne Tavastia
fi,Satakunta
fi,South Karelia
fi,Southern Ostrobothnia
fi,Southern Savonia
fi,Tavastia Proper
fr,Aisne
fr,Allier
fr,Alpes-Maritimes
fr,Alpes-de-Haute-Provence
fr,Ardennes
fr,Ardèche
fr,Ariège
fr,Aube
fr,Aude
fr,Aveyron
fr,Bas-Rhin
fr,Bouches-du-Rhône
fr,Bourgogne-Franche-Comte
fr,Calvados
fr,Cantal
fr,Centre-Val de Loire
fr,Charente
fr,Charente-Maritime
fr,Cher
fr,Corrèze
fr,Corsica
fr,Cote d'Or
fr,Deux-Sèvres
fr,Dordogne
fr,Doubs
fr,Drôme
fr,Eure
fr,Eure-et-Loir
fr,Gard
fr,Gers
fr,Gironde
fr,Haute-Loire
fr,Haute-Marne
fr,Haute-Saône
fr,Haute-Vienne
fr,Hautes-Alpes
fr,Hautes-Pyrénées
fr,Hauts-de-Seine
fr,Hérault
fr,Ille-et-Vilaine
fr,Indre
fr,Indre and Loire
fr,Isère
fr,Jura
fr,Landes
fr,Loir-et-Cher
fr,Loire
fr,Loire-Atlantique
fr,Loiret
fr,Lot
fr,Lot-et-Garonne
fr,Lozère
fr,Maine-et-Loire
fr,Manche
fr,Marne
fr,Mayenne
fr,Meurthe et Moselle
fr,Meuse
fr,Morbihan
fr,Moselle
fr,Nièvre
fr,North
fr,Oise
fr,Orne
fr,Pas-de-Calais
fr,Puy-de-Dôme
fr,Pyrénées-Atlantiques
fr,Pyrénées-Orientales
fr,Rhône
fr,Sarthe
fr,Savoy
fr,Saône-et-Loire
fr,Seine-Maritime
fr,Seine-Saint-Denis
fr,Seine-et-Marne
fr,Somme
fr,South Corsica
fr,Tarn
fr,Tarn-et-Garonne
fr,Territoire de Belfort
fr,Upper Corsica
fr,Upper Garonne
fr,Val d'Oise
fr,Val-de-Marne
fr,Var
fr,Vaucluse
fr,Vendée
fr,Vienne
fr,Vosges
fr,Yonne
fr,Yvelines
gh,Ashanti Region
gh,Brong-Ahafo
gh,Central Region
gh,Eastern Region
gh,Greater Accra Region
gh,Northern Region
gh,Upper East Region
gh,Upper West Region
gh,Western Region
gr,Achaea
gr,Aitoloakarnania
gr,Arcadia
gr,Attica
gr,Central Greece
gr,Central Macedonia
gr,Chalkidikí
gr,Chania
gr,Chios
gr,Corinthia
gr,Crete
gr,Dodecanese
gr,East Macedonia and Thrace
gr,Epirus
gr,Euboea
gr,Evros
gr,Florina
gr,Grevena
gr,Ilia Prefecture
gr,Imathia
gr,Ioannina
gr,Ionian Islands
gr,Kastoria
gr,Kavala
gr,Kozani
gr,Laconia
gr,Lasithi
gr,Lefkada
gr,Lesbos
gr,Magnesia
gr,Messenia
gr,Mount Athos
gr,Nomos Argolidos
gr,Nomos Artas
gr,Nomos Dramas
gr,Nomos Evrytanias
gr,Nomos Irakleiou
gr,Nomos Kardhitsas
gr,Nomos Kefallinias
gr,Nomos Kerkyras
gr,Nomos Kilkis
gr,Nomos Kykladon
gr,Nomos Larisis
gr,Nomos Prevezis
gr,Nomos Rodopis
gr,Nomos Voiotias
gr,Nomos Zakynthou
gr,North Aegean
gr,Pella
gr,Peloponnese
gr,Phocis
gr,Phthiotis
gr,Pieria
gr,Rethymno
gr,Samos
gr,South Aegean
gr,Sérres
gr,Thesprotia
gr,Thessaloniki
gr,Thessaly
gr,Trikala
gr,West Greece
gr,West Macedonia
gr,Xanthi
hk,Central and Western District
hk,Eastern
hk,Islands District
hk,Kowloon City
hk,Kwai Tsing
hk,Kwun Tong
hk,North
hk,Sai Kung District
hk,Sha Tin
hk,Sham Shui Po
hk,Southern
hk,Tai Po District
hk,Tsuen Wan District
hk,Tuen Mun
hk,Wan Chai
hk,Wong Tai Sin
